CustomerId,FirstName,LastName,Money_spent,,,Amount of money Spent,Number of People
6,Helena,Hol?,49.62,,,36.64,1
26,Richard,Cunningham,47.62,,,37.62,30
57,Luis,Rojas,46.62,,,38.62,6
45,Ladislav,Kov?cs,45.62,,,39.62,8
46,Hugh,O'Reilly,45.62,,,40.62,3
28,Julia,Barnett,43.62,,,41.62,1
24,Frank,Ralston,43.62,,,42.62,2
37,Fynn,Zimmermann,43.62,,,43.62,3
7,Astrid,Gruber,42.62,,,45.62,2
25,Victor,Stevens,42.62,,,46.62,1
44,Terhi,H?m?l?inen,41.62,,,47.62,1
5,Franti?ek,Wichterlov?,40.62,,,49.62,1
43,Isabelle,Mercier,40.62,,,,
48,Johannes,Van der Berg,40.62,,,,
17,Jack,Smith,39.62,,,,
34,Jo?o,Fernandes,39.62,,,,
1,Lu?s,Gonçalves,39.62,,,,
3,François,Tremblay,39.62,,,,
4,Bj?rn,Hansen,39.62,,,,
20,Dan,Miller,39.62,,,,
22,Heather,Leacock,39.62,,,,
42,Wyatt,Girard,39.62,,,,
15,Jennifer,Peterson,38.62,,,,
19,Tim,Goyer,38.62,,,,
39,Camille,Bernard,38.62,,,,
40,Dominique,Lefebvre,38.62,,,,
51,Joakim,Johansson,38.62,,,,
58,Manoj,Pareek,38.62,,,,
2,Leonie,K?hler,37.62,,,,
9,Kara,Nielsen,37.62,,,,
10,Eduardo,Martins,37.62,,,,
11,Alexandre,Rocha,37.62,,,,
13,Fernanda,Ramos,37.62,,,,
14,Mark,Philips,37.62,,,,
18,Michelle,Brooks,37.62,,,,
27,Patrick,Gray,37.62,,,,
30,Edward,Francis,37.62,,,,
31,Martha,Silk,37.62,,,,
32,Aaron,Mitchell,37.62,,,,
35,Madalena,Sampaio,37.62,,,,
36,Hannah,Schneider,37.62,,,,
38,Niklas,Schr?der,37.62,,,,
41,Marc,Dubois,37.62,,,,
47,Lucas,Mancini,37.62,,,,
49,Stanis?aw,W?jcik,37.62,,,,
52,Emma,Jones,37.62,,,,
53,Phil,Hughes,37.62,,,,
55,Mark,Taylor,37.62,,,,
56,Diego,Gutiérrez,37.62,,,,
8,Daan,Peeters,37.62,,,,
12,Roberto,Almeida,37.62,,,,
16,Frank,Harris,37.62,,,,
21,Kathy,Chase,37.62,,,,
23,John,Gordon,37.62,,,,
29,Robert,Brown,37.62,,,,
33,Ellie,Sullivan,37.62,,,,
50,Enrique,Mu?oz,37.62,,,,
54,Steve,Murray,37.62,,,,
59,Puja,Srivastava,36.64,,,,
